pais,CREIX,INF,ATUR,INT1,INT2
Austria,1.5,3.1,6.1,5.21,5.74
Belgica,2.5,2,10.4,5.44,6.25
Dinamar,3.5,2,11.7,6.25,7.4
Finland,1.2,1.7,16.4,5.83,7.13
France,1.5,1.6,12.7,6.06,6.94
Aleman,1.5,2.7,8.2,5.46,6.86
Greece,0,11.9,4.6,17.63,15.43
Irlanda,2.2,2.5,15,6.31,7.44
Italia,0.7,3.8,12.5,9.19,10.69
Luxemburg,0,2.1,2.5,5.44,6.25
Holanda,1.7,2.5,9.6,5.43,5.94
Noruega,5.2,1.8,5.8,5.92,6.47
Portugal,-0.4,4.8,7.1,10.56,11.16
Espanya,-1,4.3,24.1,8.27,9.56
Suecia,1.4,2.2,8.1,8.15,9.21
Suiza,1.5,0.6,4.4,4.19,4.69
UK,3.5,2.6,9.4,6.37,7.75
USA,3.8,2.7,5.8,6.25,7.5
Japo,0.2,1.1,3,2.36,2.68
